,precision,recall,f1-score,N Predictions
blanket1,0.0,0.0,0.0,3200
blanket2,0.0,0.0,0.0,3200
canvas1,0.0,0.0,0.0,3200
ceiling1,0.0,0.0,0.0,3200
ceiling2,0.0,0.0,0.0,3200
cushion1,0.0,0.0,0.0,3200
floor1,0.0,0.0,0.0,3200
floor2,0.0,0.0,0.0,3200
grass1,0.0,0.0,0.0,3200
lentils1,0.0,0.0,0.0,3200
linseeds1,0.0,0.0,0.0,3200
oatmeal1,0.0,0.0,0.0,3200
pearlsugar1,0.0,0.0,0.0,3200
rice1,0.0,0.0,0.0,3200
rice2,0.0,0.0,0.0,3200
rug1,0.0,0.0,0.0,3200
sand1,0.0,0.0,0.0,3200
scarf1,0.0,0.0,0.0,3200
scarf2,0.0,0.0,0.0,3200
screen1,0.0,0.0,0.0,3200
seat1,0.0,0.0,0.0,3200
seat2,0.0,0.0,0.0,3200
sesameseeds1,0.0,0.0,0.0,3200
stone1,0.0,0.0,0.0,3200
stone2,0.0009438414346389807,0.00125,0.0010755579456843236,3200
stone3,0.0,0.0,0.0,3200
stoneslab1,0.0,0.0,0.0,3200
wall1,0.0374948737477298,1.0,0.07227963182562538,3200
,Macro Average
precision,0.0013728112565131706
recall,0.03575892857142857
f1-score,0.002619828206118204
support,89600.0
,Weighted Average
precision,0.0013728112565131708
recall,0.03575892857142857
f1-score,0.0026198282061182035
support,89600.0
,
overall accuracy,0.03575892857142857
